kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
CDC7	Other	10	169	2	35	880	11901	0.8002286175363098	-0.3215158720530449	0.8076836114958381	0.9999999999943993	0.09275872918891143	2.4323713852674953e-12	0.7727922077922078	-0.3718475476031893	0.7421775945530246	1.0000000000627258	0.12949216061625957	2.7241479467302745e-11	upregulated set	0.8002286175363098	-0.3215158720530449	0.8076836114958381	0.9999999999943993	0.09275872918891143	2.4323713852674953e-12
HPK1	STE	4	169	1	35	365	11901	0.7717273243089892	-0.3738369071831273	0.7639778816632385	0.9999999999943993	0.11691921473668629	2.4323713852674953e-12	0.9315851272015655	-0.10224048784590935	0.6643218881383066	1.0000000000627258	0.17762143814841982	2.7241479467302745e-11	downregulated set	1.0734392067893455	0.10224048784590935	0.6643218881383066	1.0000000000627258	0.17762143814841982	2.7241479467302745e-11
SRPK1	CMGC	9	169	2	35	440	11901	1.4404115115653577	0.5264810345019053	0.17864102041807067	0.8327419874873141	0.7480188091894643	0.07948953733001478	1.5455844155844156	0.6281524523968108	0.3738895207132997	1.0000000000627258	0.42725670697781076	2.7241479467302745e-11	downregulated set	0.6470044534072766	-0.6281524523968108	0.3738895207132997	1.0000000000627258	0.42725670697781076	2.7241479467302745e-11
ICK	CMGC	12	169	4	35	453	11901	1.8654335984952388	0.8995110072591737	0.030360496602442503	0.26283515630114507	1.5176911290237043	0.580316544871675	3.002459791863765	1.5861449258752351	0.04353874684671871	1.0000000000627258	1.361124075188981	2.7241479467302745e-11	downregulated set	0.33306024703806403	-1.5861449258752351	0.04353874684671871	1.0000000000627258	1.361124075188981	2.7241479467302745e-11
NDR1	AGC	4	169	0	35	190	11901	1.4825288072251634	0.5680601382533046	0.28851876370991375	0.9995223652790686	0.5398259374105477	0.00020748367831577996	0.894812030075188	-0.16034344240947757	0.9999999999951243	1.0000000000627258	2.1174702510628697e-12	2.7241479467302745e-11	upregulated set	1.4825288072251634	0.5680601382533046	0.28851876370991375	0.9995223652790686	0.5398259374105477	0.00020748367831577996
NDR2	AGC	14	169	1	35	439	11901	2.2457440929492796	1.1671935391064985	0.004579830181358698	0.07303623920798345	2.3391506251983496	1.1364615976488734	0.7745525545069963	-0.3685649636138881	0.7319302326361079	1.0000000000627258	0.13553031378475397	2.7241479467302745e-11	upregulated set	2.2457440929492796	1.1671935391064985	0.004579830181358698	0.07303623920798345	2.3391506251983496	1.1364615976488734
CHK2	CAMK	2	169	1	35	238	11901	0.5917657003629854	-0.7569020167236913	0.8532721423372661	0.9999999999943993	0.06891243299937448	2.4323713852674953e-12	1.4286914765906362	0.5146944026135268	0.5078408321742336	1.0000000000627258	0.2942723832672797	2.7241479467302745e-11	downregulated set	0.6999411814133266	-0.5146944026135268	0.5078408321742336	1.0000000000627258	0.2942723832672797	2.7241479467302745e-11
CHK1	CAMK	6	169	2	35	684	11901	0.6177203363438182	-0.6949742675804891	0.9263628952262709	0.9999999999943993	0.033218848609302666	2.4323713852674953e-12	0.994235588972431	-0.008340348964427603	0.6055585813790365	1.0000000000627258	0.2178438370972841	2.7241479467302745e-11	downregulated set	1.0057978321149483	0.008340348964427603	0.6055585813790365	1.0000000000627258	0.2178438370972841	2.7241479467302745e-11
WNK1	Other	3	169	3	35	294	11901	0.7185726361550537	-0.47679409753095575	0.7898763246671671	0.9999999999943993	0.10244090329099256	2.4323713852674953e-12	3.469679300291545	1.7948023218062623	0.05561061386521531	1.0000000000627258	1.2548423108787876	2.7241479467302745e-11	downregulated set	0.28821107469960505	-1.7948023218062623	0.05561061386521531	1.0000000000627258	1.2548423108787876	2.7241479467302745e-11
WNK3	Other	7	169	0	35	573	11901	0.8602806778400818	-0.21712066011504835	0.7091305756628524	0.9999999999943993	0.14927378869769434	2.4323713852674953e-12	0.29670905011219145	-1.7528791628354345	0.9999999999885518	1.0000000000627258	4.9718795520838975e-12	2.7241479467302745e-11	upregulated set	0.8602806778400818	-0.21712066011504835	0.7091305756628524	0.9999999999943993	0.14927378869769434	2.4323713852674953e-12
